AK	大
AH	不
DK	小
PC	是
JJ	再
;;	個
LO	我
DR	在
GK	雇
NN	性
SS	段
YY	診
JP	嘗
;I	嘉
HH	痕
TT	畫
FS	孔
.K	爪
K;	仲
SW	妄
NF	宇
AQ	死
KT	佛
FX	戒
Y;	享
JE	刺
AB	叔
SP	昏
.L	狗
LT	秉
HS	祇
NH	突
AJ	耐
QA	虐
ZD	倚
XE	倒
UK	俱
IT	倉
NT	唐
RD	席
NS	悔
OT	矩
VU	租
PS	乾
TR	堅
WA	婚
TW	婆
S.	敏
X,	率
ZG	盛
VD	術
TY	陪
MX	殘
ZI	短
XM	貸
NY	慌
ZL	源
ZW	矮
SA	跨
TC	歉
Q,	熊
ZM	厲
SU	盤
SQ	輝
QE	輯
UD	靜
SX	繁
VW	魏
DL	牙
DT	臣
CS	沈
EF	卓
LW	委
JW	姿
J.	夏
N;	容
AN	恥
JN	息
HK	旅
QR	框
.G	浮
H;	祝
ZV	秦
JX	索
.T	躬
EB	寂
DC	崇
DQ	帳
,H	救
.N	逢
QU	惰
AO	插
G.	敦
AU	期
EX	裂
;A	貴
.R	隆
YV	集
BD	飾
.Z	徹
//	漂
GX	漲
Y,	熟
R,	遮
R/	憲
SY	擁
RV	謀
WM	頸
RT	艱
,D	騎
X/	繪
SM	贊
BF	辭
G;	驅
TI	鑒
BG	予
BU	朗
DM	頂
IA	普
JU	盜
HJ	視
HM	貿
JV	榮
DU	監
JI	網
K/	價
ER	潤
YM	璃
PT	鄭
E.	據
QV	築
Q/	融
.S	乳
BZ	飯
BS	概
,A	煤
,G	馳
DE	端
BM	頗
IX	儀
/X	環
D;	臨
HN	邀
;H	璧
DS	繫
AY	耀
,/	釋
/A	飄
C,	黨
/C	票
BI	澄
BY	壁
HI	禮
.J	徜
IK	鈉
XC	綻
JL	幡
BO	餿
UX	魘
LL	等
.A	須
;T	啊
BL	尾
C.	淨
CA	業
CJ	深
CR	清
EZ	歲
IL	首
JT	急
N,	憐
RL	表
WU	姐
WX	始
XT	紀
XU	態
YA	語
YG	詞
YL	衣
.P	復
/U	罷
A;	聖
NP	廣
NX	室
RG	城
RQ	越
ST	跑
XJ	編
XY	裝
Y/	讀
YJ	高
/N	還
;F	單
;P	唱
BX	展
DF	岸
FA	直
FU	朝
FV	葉
KL	弟
KM	資
LE	利
NB	度
NC	察
ND	序
NM	賽
NU	情
O.	物
OM	質
PQ	圍
R.	場
SR	望
T.	改
T;	君
TM	費
TN	選
TP	陳
VL	材
WL	妙
WR	姓
WS	她
WV	妹
XA	組
YB	被
YE	刻
YT	部
YU	請
ZE	歷
ZR	壓
,P	番
;E	靠
;L	遠
;N	造
BT	廢
D.	條
EL	聰
GN	慶
HO	游
HP	神
HR	社
HU	祖
ID	剛
LA	考
MN	遇
MS	般
MY	航
PL	喝
QG	範
TJ	掃
XN	退
BV	餘
DZ	候
EJ	嘴
KG	窮
QL	呀
SN	恐
TD	衛
VF	科
XL	樂
AG	與
FM	實
JC	你
GT	那
NA	家
RB	聲
I/	會
KA	但
A,	雨
./	獨
BA	喔
BE	取
B.	受
DJ	希
ET	假
EW	聯
FC	活
GV	碟
HA	球
HL	窗
HY	謝
HZ	傳
IY	議
JA	次
LC	沒
MH	獎
MJ	夢
MK	例
ML	項
MP	題
QF	轉
QY	試
SC	光
SD	吧
SJ	晚
SO	每
S;	觀
UC	溫
UY	龍
WJ	妳
YZ	雄
;G	哪
,S	鳳
,;	嗚
.I	隊
/,	罵
BW	辦
B/	標
DH	底
DV	檔
DW	掉
D,	調
D/	版
EG	英
FW	歡
GB	建
GE	基
GI	交
GP	景
GW	件
G/	幹
HC	何
HE	凰
HG	哈
HV	呵
HW	換
KW	客
L/	程
MA	覺
MB	板
MD	幫
MF	訊
MG	教
MI	理
MO	魔
MR	至
MV	影
MW	參
MZ	讓
M/	莫
O/	徵
P/	星
QW	線
RW	錢
S/	三
TA	界
TO	提
TU	圖
TV	保
TZ	團
T,	阿
T/	引
UF	章
UG	究
UJ	卻
UL	啦
UM	舍
UN	怎
UP	者
UT	尚
UV	速
UW	元
UZ	雲
U;	商
U/	您
VT	整
WE	演
WK	玩
WT	完
WZ	若
W/	惡
XD	市
Z/	感
;W	戰
,B	冷
,C	卡
,E	管
,I	代
,K	歌
,L	錄
,M	站
,T	討
,U	許
,X	式
,Z	笑
.C	貓
.U	需
/B	協
/D	打
/G	灣
/H	守
/I	意
/K	其
/L	戀
/R	佳
/T	統
/W	按
/;	喜
DP	舊
